date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:51	89440/89440	---M--	200	added ('OK')	text/html	etag:%2232ca86519cf93a673222a6a89823f3d8%22	https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html	C:/Users/admin/Desktop/Email/pop0001/mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html	(from )
15:16:52	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2023%20Jun%202022%2009:46:52%20GMT	https://mybktrj.s3.ca-central-1.amazonaws.com/robots.txt		(from )
15:16:53	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/admin/Desktop/Email/pop0001/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:54	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/admin/Desktop/Email/pop0001/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:55	84357/84357	---M--	200	added ('OK')	application/javascript	etag:%2214985-5dfff139b83ee%22	https://bestdrvr.online/redpop/1/jquery.min.js	C:/Users/admin/Desktop/Email/pop0001/bestdrvr.online/redpop/1/jquery.min.js	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:55	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/admin/Desktop/Email/pop0001/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:56	23735/23735	---M--	200	added ('OK')	text/css	etag:%225cb7-5dfff13ba3ef1%22	https://bestdrvr.online/redpop/1/5f205bb74a5eb_v.css	C:/Users/admin/Desktop/Email/pop0001/bestdrvr.online/redpop/1/5f205bb74a5eb_v.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:56	7208/7208	---M-Z	200	added ('OK')	text/css	etag:%225eb03e6a-1c28%22	https://cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	C:/Users/admin/Desktop/Email/pop0001/cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:57	0/0	---M--	200	added ('OK')	text/css	etag:%220-5dfff13c3531b%22	https://bestdrvr.online/redpop/1/5f205bb63ccd2_v.css	C:/Users/admin/Desktop/Email/pop0001/bestdrvr.online/redpop/1/5f205bb63ccd2_v.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
15:16:57	75/75	---M--	200	added ('OK')	text/css	etag:%224b-5dfff14b9dafc%22	https://bestdrvr.online/redpop/1/5f205bc497791_v.css	C:/Users/admin/Desktop/Email/pop0001/bestdrvr.online/redpop/1/5f205bc497791_v.css	(from https://mybktrj.s3.ca-central-1.amazonaws.com/seopt/aus/fixdrive.html)
